"","offertype","season","type","cross","rl","intern","research","paper","first","sci","exchange","CollegeRankTop50","gpa_dis","toefl_dis","gre_dis","major_apply_new"
"8553","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"8840","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4",">106","325~330","EE"
"5629","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4","<=98","315~320","CS"
"1073","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","325~330","MIS"
"5480","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","315~320","Stat/Biostat"
"3620","1","Fall","MS",0,0,0,0,0,0,0,1,"Top50","3.55~3.7","<=98","<=315","EE"
"8633","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","325~330","CS"
"8468","1","Spring","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CE"
"3650","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7",">106","320~325","Material"
"8774","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","EE"
"2816","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","325~330","Others"
"6028","1","Fall","MS",0,0,1,1,0,0,0,0,"Top50","3.55~3.7",">106",">330","Others"
"3305","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","325~330","CS"
"8859","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","<=315","EE"
"9859","0","Fall","MS",0,0,1,1,0,0,0,0,"Others",">3.7","<=98","<=315","Stat/Biostat"
"3752","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"3287","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4",">106","320~325","CS"
"3794","1","Fall","MS",0,0,0,1,0,0,0,0,"Others",">3.7","102~106","320~325","EE"
"6089","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4",">106","325~330","EE"
"7248","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","325~330","CivilEng"
"8921","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","Others"
"9816","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","EE"
"3817","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106",">330","MFE/Fin/FinMath"
"10059","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","Stat/Biostat"
"5669","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","315~320","CS"
"8651","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","315~320","CS"
"3975","0","Fall","PhD",0,1,0,1,0,0,0,0,"Others","<=3.4","102~106","320~325","CS"
"6052","0","Fall","MS",0,0,0,1,0,0,0,0,"Top50","3.4~3.55","<=98","315~320","EE"
"5477","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","Others"
"1972","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","MIS"
"3075","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","Others"
"8235","1","Fall","MS",1,0,0,0,1,0,1,0,"Others","3.4~3.55","98~102","315~320","CS"
"157","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"3444","1","Fall","MS",0,0,0,1,0,0,0,0,"Others","3.4~3.55",">106","320~325","Others"
"8881","1","Spring","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","<=315","EE"
"1027","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","ME"
"1574","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","ME"
"2201","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","ME"
"3659","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","ME"
"7147","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","ME"
"2339","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","Stat/Biostat"
"5478","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","EE"
"8533","0","Fall","混合",1,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","325~330","CS"
"7741","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","EE"
"6312","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","320~325","EE"
"9789","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","EE"
"3017","1","Fall","MS",0,0,1,1,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","CS"
"3244","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","<=315","CE"
"3245","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CE"
"8708","1","Spring","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","320~325","CS"
"8848","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","EE"
"9489","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","ME"
"1681","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Stat/Biostat"
"2154","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Stat/Biostat"
"8220","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Stat/Biostat"
"10140","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Stat/Biostat"
"7151","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","MFE/Fin/FinMath"
"5350","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","CS"
"5850","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"4458","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","<=315","CS"
"9490","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","ME"
"6710","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","320~325","ME"
"9406","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","ME"
"1703","1","Fall","PhD",0,1,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Others"
"8236","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","CS"
"9906","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","CS"
